jaccard,kmins_theory_k256_theta0.70,fastsketch_sim_k256_theta0.70,kmins_theory_k4096_theta0.70,fastsketch_sim_k4096_theta0.70
0.02000000,0.00000000,0.00000000,0.00000000,0.00000000
0.03979592,0.00000000,0.00000000,0.00000000,0.00000000
0.05959184,0.00000000,0.00000000,0.00000000,0.00000000
0.07938776,0.00000000,0.00000000,0.00000000,0.00000000
0.09918367,0.00000000,0.00000000,0.00000000,0.00000000
0.11897959,0.00000000,0.00000000,0.00000000,0.00000000
0.13877551,0.00000000,0.00000000,0.00000000,0.00000000
0.15857143,0.00000000,0.00000000,0.00000000,0.00000000
0.17836735,0.00000000,0.00000000,0.00000000,0.00000000
0.19816327,0.00000000,0.00000000,0.00000000,0.00000000
0.21795918,0.00000000,0.00000000,0.00000000,0.00000000
0.23775510,0.00000000,0.00000000,0.00000000,0.00000000
0.25755102,0.00000000,0.00000000,0.00000000,0.00000000
0.27734694,0.00000000,0.00000000,0.00000000,0.00000000
0.29714286,0.00000000,0.00000000,0.00000000,0.00000000
0.31693878,0.00000000,0.00000000,0.00000000,0.00000000
0.33673469,0.00000000,0.00000000,0.00000000,0.00000000
0.35653061,0.00000000,0.00000000,0.00000000,0.00000000
0.37632653,0.00000000,0.00000000,0.00000000,0.00000000
0.39612245,0.00000000,0.00000000,0.00000000,0.00000000
0.41591837,0.00000000,0.00000000,0.00000000,0.00000000
0.43571429,0.00000000,0.00000000,0.00000000,0.00000000
0.45551020,0.00000000,0.00000000,0.00000000,0.00000000
0.47530612,0.00000000,0.00000000,0.00000000,0.00000000
0.49510204,0.00000000,0.00000000,0.00000000,0.00000000
0.51489796,0.00000000,0.00000000,0.00000000,0.00000000
0.53469388,0.00000003,0.00000000,0.00000000,0.00000000
0.55448980,0.00000076,0.00000000,0.00000000,0.00000000
0.57428571,0.00001451,0.00000000,0.00000000,0.00000000
0.59408163,0.00019282,0.00000000,0.00000000,0.00000000
0.61387755,0.00179011,0.00000000,0.00000000,0.00000000
0.63367347,0.01163601,0.01666667,0.00000000,0.00000000
0.65346939,0.05307324,0.03333333,0.00000000,0.00000000
0.67326531,0.17072405,0.15833333,0.00011511,0.00000000
0.69306122,0.39234605,0.47500000,0.16530510,0.12500000
0.71285714,0.66321745,0.66666667,0.96430503,0.97500000
0.73265306,0.87187054,0.87500000,0.99999840,1.00000000
0.75244898,0.96943919,0.96666667,1.00000000,1.00000000
0.77224490,0.99582814,1.00000000,1.00000000,1.00000000
0.79204082,0.99970545,1.00000000,1.00000000,1.00000000
0.81183673,0.99999049,1.00000000,1.00000000,1.00000000
0.83163265,0.99999988,1.00000000,1.00000000,1.00000000
0.85142857,1.00000000,1.00000000,1.00000000,1.00000000
0.87122449,1.00000000,1.00000000,1.00000000,1.00000000
0.89102041,1.00000000,1.00000000,1.00000000,1.00000000
0.91081633,1.00000000,1.00000000,1.00000000,1.00000000
0.93061224,1.00000000,1.00000000,1.00000000,1.00000000
0.95040816,1.00000000,1.00000000,1.00000000,1.00000000
0.97020408,1.00000000,1.00000000,1.00000000,1.00000000
0.99000000,1.00000000,1.00000000,1.00000000,1.00000000
