jaccard,theory_k256_b16_r16_br256,sim_k256,theory_k4096_b204_r20_br4080,sim_k4096,theory_k4096_b163_r25_br4075,sim_k4096
0.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.03979592,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.05959184,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.07938776,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.09918367,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.11897959,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.13877551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.15857143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.17836735,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.19816327,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.21795918,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.23775510,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25755102,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.27734694,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.29714286,0.00000006,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000
0.31693878,0.00000017,0.00000000,0.00000002,0.00000000,0.00000000,0.00000000
0.33673469,0.00000044,0.00000000,0.00000007,0.00000000,0.00000000,0.00000000
0.35653061,0.00000109,0.00000000,0.00000022,0.00000000,0.00000000,0.00000000
0.37632653,0.00000259,0.00000000,0.00000066,0.00000000,0.00000000,0.00000000
0.39612245,0.00000588,0.00000000,0.00000185,0.00000000,0.00000001,0.00000000
0.41591837,0.00001283,0.00000000,0.00000490,0.00000000,0.00000005,0.00000000
0.43571429,0.00002700,0.00000000,0.00001241,0.00000000,0.00000016,0.00000000
0.45551020,0.00005496,0.00000000,0.00003017,0.00000000,0.00000047,0.00000000
0.47530612,0.00010856,0.00000000,0.00007065,0.00000000,0.00000137,0.00000000
0.49510204,0.00020854,0.00000000,0.00015977,0.00000000,0.00000380,0.00000000
0.51489796,0.00039046,0.00000000,0.00034993,0.00000000,0.00001012,0.00000000
0.53469388,0.00071393,0.00000000,0.00074400,0.00000000,0.00002599,0.00000000
0.55448980,0.00127690,0.00000000,0.00153875,0.00000000,0.00006449,0.00000000
0.57428571,0.00223724,0.00833333,0.00310113,0.00000000,0.00015501,0.00000000
0.59408163,0.00384480,0.00000000,0.00609862,0.00833333,0.00036163,0.00000000
0.61387755,0.00648789,0.00833333,0.01171444,0.00833333,0.00082045,0.00000000
0.63367347,0.01075891,0.00833333,0.02198598,0.01666667,0.00181315,0.00000000
0.65346939,0.01754391,0.00833333,0.04029747,0.02500000,0.00390817,0.00833333
0.67326531,0.02813869,0.01666667,0.07199632,0.07500000,0.00822361,0.01666667
0.69306122,0.04438742,0.00833333,0.12489803,0.07500000,0.01689683,0.01666667
0.71285714,0.06882330,0.05000000,0.20894277,0.20833333,0.03387155,0.03333333
0.73265306,0.10475788,0.07500000,0.33338042,0.32500000,0.06606637,0.04166667
0.75244898,0.15620546,0.10000000,0.49926759,0.46666667,0.12465286,0.10833333
0.77224490,0.22744078,0.18333333,0.68777916,0.65833333,0.22502125,0.20000000
0.79204082,0.32189725,0.27500000,0.85554892,0.88333333,0.38140481,0.31666667
0.81183673,0.44013131,0.37500000,0.95840132,0.97500000,0.58993515,0.63333333
0.83163265,0.57696313,0.56666667,0.99433335,1.00000000,0.80440879,0.84166667
0.85142857,0.71900584,0.66666667,0.99976252,1.00000000,0.94765854,0.92500000
0.87122449,0.84551819,0.84166667,0.99999845,1.00000000,0.99489627,0.99166667
0.89102041,0.93597381,0.90833333,1.00000000,1.00000000,0.99991487,1.00000000
0.91081633,0.98282858,1.00000000,1.00000000,1.00000000,0.99999994,1.00000000
0.93061224,0.99772825,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
0.95040816,0.99991456,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
0.97020408,0.99999978,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
0.99000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
