jaccard,theory_b204_r20,sim_k4096_use4080
0.02000000,0.00000000,0.00000000
0.03979592,0.00000000,0.00000000
0.05959184,0.00000000,0.00000000
0.07938776,0.00000000,0.00000000
0.09918367,0.00000000,0.00000000
0.11897959,0.00000000,0.00000000
0.13877551,0.00000000,0.00000000
0.15857143,0.00000000,0.00000000
0.17836735,0.00000000,0.00000000
0.19816327,0.00000000,0.00000000
0.21795918,0.00000000,0.00000000
0.23775510,0.00000000,0.00000000
0.25755102,0.00000000,0.00000000
0.27734694,0.00000000,0.00000000
0.29714286,0.00000001,0.00000000
0.31693878,0.00000002,0.00000000
0.33673469,0.00000007,0.00000000
0.35653061,0.00000022,0.00000000
0.37632653,0.00000066,0.00000000
0.39612245,0.00000185,0.00000000
0.41591837,0.00000490,0.00000000
0.43571429,0.00001241,0.00000000
0.45551020,0.00003017,0.00000000
0.47530612,0.00007065,0.00000000
0.49510204,0.00015977,0.00000000
0.51489796,0.00034993,0.00000000
0.53469388,0.00074400,0.00000000
0.55448980,0.00153875,0.00000000
0.57428571,0.00310113,0.00000000
0.59408163,0.00609862,0.00833333
0.61387755,0.01171444,0.00833333
0.63367347,0.02198598,0.01666667
0.65346939,0.04029747,0.02500000
0.67326531,0.07199632,0.07500000
0.69306122,0.12489803,0.07500000
0.71285714,0.20894277,0.20833333
0.73265306,0.33338042,0.32500000
0.75244898,0.49926759,0.46666667
0.77224490,0.68777916,0.65833333
0.79204082,0.85554892,0.88333333
0.81183673,0.95840132,0.97500000
0.83163265,0.99433335,1.00000000
0.85142857,0.99976252,1.00000000
0.87122449,0.99999845,1.00000000
0.89102041,1.00000000,1.00000000
0.91081633,1.00000000,1.00000000
0.93061224,1.00000000,1.00000000
0.95040816,1.00000000,1.00000000
0.97020408,1.00000000,1.00000000
0.99000000,1.00000000,1.00000000
