k,n,true_jaccard,fast_avg_error,datasketch_avg_error,cmins_avg_error,rmins_avg_error,fast_avg_time,datasketch_avg_time,cmins_avg_time,rmins_avg_time,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,fast_speedup_vs_rmins
32,100,0.4925373134328358,0.06725746268656715,0.08886194029850741,0.29621268656716426,0.07888059701492542,1.2544001219794153e-05,0.0018039519956801087,3.821000107564032e-05,2.704400336369872e-05,0.006953622518688439,0.3282910459741185,0.4638366979584102
32,2500,0.4997000599880024,0.07130998800239953,0.06505998800239952,0.15098605278944227,0.07308900719856029,7.353399647399783e-05,0.02786519599845633,0.0005057020008098334,0.00043124599498696627,0.0026389190471896,0.14540974003709725,0.17051519858455794
32,5000,0.4999250037498125,0.06875299985000749,0.07126199940002997,0.14680900329983493,0.09000299985000748,0.0001654380070976913,0.05526026799576357,0.0009812240046449005,0.0008764860057272017,0.0029937966842718588,0.1686037095653427,0.18875145298005175
32,10000,0.4999250037498125,0.061892999100044976,0.07002399880005998,0.056848001349932537,0.07624400029998502,0.00026740199304185806,0.10950513199320994,0.0018261979962699115,0.0016596500016748906,0.0024419128873196445,0.14642552099391096,0.1611195087952282
32,20000,0.49998125023437207,0.07063024993437582,0.05875449994375069,0.06438099992500096,0.06625074999062511,0.0006315260089468211,0.21770157999708317,0.003652903997572139,0.0033789559977594765,0.0029008793089847235,0.17288327570791834,0.18689974340168217
64,100,0.4925373134328358,0.044402985074626866,0.052667910447761146,0.2974626865671643,0.04799906716417915,1.1480001267045737e-05,0.0018499340012203902,3.752599935978651e-05,3.206200082786381e-05,0.006205627476154527,0.30592126693227784,0.3580562962579966
64,2500,0.4997000599880024,0.04127399520095981,0.04878599280143971,0.15939955758848245,0.04872600479904019,7.70640023984015e-05,0.028244814001955092,0.0005820719990879298,0.000507898002397269,0.0027284301604204994,0.13239599657629286,0.15173125713166985
64,5000,0.4999250037498125,0.04530950014999251,0.049375,0.14555600344982744,0.06748500074996253,0.00016874000080861152,0.05593134200084023,0.0011579799989704042,0.0010119880060665309,0.0030169131433691793,0.14571927059072132,0.16674110740154177
64,10000,0.4999250037498125,0.043764999250037476,0.055029998500074964,0.04744900254987257,0.05312500000000002,0.0002729899960104376,0.11049595000687987,0.0021441800042521207,0.0019455499947071075,0.0024705882522702443,0.1273167343548916,0.14031507632962928
64,20000,0.49998125023437207,0.04875074999062509,0.047815499962500486,0.04907449985000189,0.04281100001874977,0.0005967939924448729,0.22101339999819175,0.004342091995058581,0.004049173999810592,0.002700261578934832,0.13744388491170634,0.14738660093954697
128,100,0.4925373134328358,0.025851212686567156,0.03513992537313428,0.29683768656716425,0.03757229477611943,1.5660005155950786e-05,0.0024252359999809413,5.2269999869167805e-05,4.5003999257460234e-05,0.006457105682116647,0.2995983392987927,0.34796918972384117
128,2500,0.4997000599880024,0.03263225479904019,0.03828125,0.16314955758848246,0.04010825959808038,8.097799844108522e-05,0.03102640200755559,0.0007691479939967394,0.0006734179984778165,0.0026099706444003834,0.10528272721651082,0.12024923394403864
128,5000,0.4999250037498125,0.035622000149992505,0.0323527495500225,0.14586850344982744,0.036866000449977517,0.00016621800721623004,0.0606804799917154,0.0015457539982162416,0.0013422480050940067,0.0027392335597695256,0.10753199241796634,0.12383554051517377
128,10000,0.4999250037498125,0.03140924985000749,0.03720849895005248,0.04619600269986506,0.040922500749962516,0.0002583999990019947,0.11998615400283598,0.0028843499952927233,0.0025771720008924606,0.002153581812413849,0.08958690846246298,0.10026494114964472
128,20000,0.49998125023437207,0.03281399998125023,0.03656699994375069,0.04141899984062697,0.042025250074999076,0.0006170799979008735,0.23772770400857554,0.005877960009966046,0.005315843995194882,0.0025957428919542907,0.10498200002290217,0.1160831654312404
256,100,0.4925373134328358,0.01961520522388059,0.0287336753731343,0.2961345615671643,0.023309235074626865,2.3351998534053566e-05,0.003512701998697594,8.174800779670477e-05,7.268600049428642e-05,0.006647873501000596,0.2856583195535057,0.32127229968980314
256,2500,0.4997000599880024,0.025378627399520095,0.02942912979904019,0.16385268258848246,0.026760882198560286,8.983999956399202e-05,0.03435916601214558,0.0011393680097535252,0.0009921820054296403,0.0026147316710840593,0.07885073022493122,0.0905479025746783
256,5000,0.4999250037498125,0.02271937574996251,0.023287249700014997,0.14274650329983493,0.026631625449977516,0.00022331599844619633,0.06628881000913679,0.0022815420036204157,0.0019464360002893954,0.0033688340221436465,0.09787941580379943,0.11473071727659875
256,10000,0.4999250037498125,0.018110000749962506,0.030231375149992506,0.04501812799985006,0.028278250149992506,0.0002844060049392283,0.1306409560004249,0.004274655999615788,0.0038130720029585065,0.002177004927446361,0.06653307423212326,0.07458710580827266
256,20000,0.49998125023437207,0.021874250009374888,0.02765999995312558,0.03736099978437766,0.02788387508437395,0.0006154819985385985,0.2564364860020578,0.008565919998800383,0.007749840008327738,0.002400134271585906,0.07185241032192617,0.07941867159544204
512,100,0.4925373134328358,0.0116015625,0.019949860074626864,0.2956267490671643,0.016796875,4.061199491843581e-05,0.005662604002282023,0.0001360979990568012,0.0001237579982262105,0.00717196450644778,0.29840258637076794,0.32815652725897654
512,2500,0.4997000599880024,0.01665569229904019,0.019050502399520094,0.15955580758848245,0.020438896595680857,0.00010708199813961983,0.04225746600772254,0.0018509319925215095,0.001606256003724411,0.002534037372710674,0.0578530159791246,0.06666558623988317
512,5000,0.4999250037498125,0.014988000599970004,0.016219937050022497,0.14509025329983494,0.020573938099970004,0.00018673800048418343,0.08056344200042076,0.003767166001489386,0.003259970009094104,0.002317899978543719,0.04956988898560741,0.05728212221684673
512,10000,0.4999250037498125,0.0174970001499925,0.021036688399955004,0.04427594049985007,0.016667688099970004,0.0003116339968983084,0.15821664400282315,0.007138211999554187,0.006374745992943644,0.001969666332277581,0.04365715068672257,0.048885712033587436
512,20000,0.49998125023437207,0.019059500037499538,0.01882962498125023,0.03564299977500278,0.01772912506562418,0.0006213000020943582,0.30799729000311343,0.01431466600508429,0.012718474005814641,0.002017225547952314,0.043403038664938776,0.04885020025282214
