k,n,true_jaccard,fast_avg_error,datasketch_avg_error,cmins_avg_error,fast_avg_time,datasketch_avg_time,cmins_avg_time,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,datasketch_speedup_vs_cmins
16,100,0.4925373134328358,0.093339552238806,0.11470149253731343,0.20746268656716427,1.0115997865796089e-05,0.0010970080457627773,2.5273961946368217e-05,0.009221443639241662,0.4002537428545002,43.40467268608884
16,1250,0.4997000599880024,0.11882198560287939,0.085,0.1113459808038392,5.8774016797542574e-05,0.010038352003321052,0.0002461099438369274,0.005854946785896529,0.2388120361218979,40.788079696497235
16,2500,0.4997000599880024,0.08133398320335936,0.08759598080383924,0.17478404319136184,0.00010215402580797673,0.019686445919796826,0.00042963403277099135,0.0051890537390118716,0.23776986461970548,45.82143037604828
16,5000,0.4999250037498125,0.11376499925003745,0.0987589995500225,0.1837020023998799,0.00019512000493705274,0.038536672005429866,0.0009068379923701286,0.005063229251077002,0.21516522970887386,42.4956522881333
16,10000,0.4999250037498125,0.12376199940002999,0.08877699865006751,0.10248800059996997,0.0003492579888552427,0.07615019804798066,0.0016455159708857537,0.004586435725816267,0.2122483130122663,46.27739833299235
16,20000,0.49998125023437207,0.10750224997187535,0.10000449994375069,0.07625524993437584,0.0007948940340429544,0.15284225203096866,0.0033536860067397358,0.00520074798349539,0.23702100686990238,45.57440730104404
32,100,0.4925373134328358,0.06193097014925373,0.08886194029850741,0.29621268656716426,1.3062059879302979e-05,0.0012456040643155574,3.0172048136591913e-05,0.010486526379857634,0.4329192310767142,41.28337786936378
32,1250,0.4997000599880024,0.08070898320335931,0.05627399520095981,0.09883398320335932,5.8775981888175014e-05,0.010134423924610019,0.00026301794685423374,0.005799637189583695,0.22346757166631312,38.531301935173964
32,2500,0.4997000599880024,0.07134598080383923,0.06505998800239952,0.15098605278944227,9.92799550294876e-05,0.01967550395987928,0.00047200797125697137,0.005045865927090425,0.21033533557728296,41.68468576385018
32,5000,0.4999250037498125,0.07938999925003748,0.07126199940002997,0.14680900329983493,0.00020692595280706881,0.03913494604639709,0.0010686019621789456,0.005287498098547122,0.1936417488745145,36.62256614857651
32,10000,0.4999250037498125,0.07876799910004498,0.07002399880005998,0.056848001349932537,0.0003553660213947296,0.07769248395226896,0.0018275540135800838,0.004574007720142552,0.19444898413622586,42.511730638304584
32,20000,0.49998125023437207,0.07562574999062512,0.05875449994375069,0.06438099992500096,0.0007662740163505077,0.15351439193822444,0.0036765780299901963,0.00499154513577374,0.20842044153556316,41.75469436143962
64,100,0.4925373134328358,0.04656250000000001,0.052667910447761146,0.2974626865671643,1.5360023826360703e-05,0.0014153580274432899,3.520605154335499e-05,0.010852394608668119,0.4362893068950202,40.2021233679195
64,1250,0.4997000599880024,0.05882198560287943,0.04873800239952009,0.09447098080383924,6.181597709655761e-05,0.010571758020669222,0.00030427400954067705,0.005847275067751171,0.20315891321073778,34.74420321547684
64,2500,0.4997000599880024,0.04882198560287943,0.04878599280143971,0.15939955758848245,9.915601462125779e-05,0.0203424259647727,0.0005626279581338168,0.004874345606220606,0.17623726867422093,36.1560879986245
64,5000,0.4999250037498125,0.04750599970001499,0.049375,0.14555600344982744,0.00019596203230321408,0.04023143393918872,0.0011583499517291785,0.004870868699321477,0.1691734281256567,34.731674895942675
64,10000,0.4999250037498125,0.056883999550022483,0.055029998500074964,0.04744900254987257,0.0003546020295470953,0.07913987396284938,0.00219308003783226,0.004480699953016808,0.1616913306536683,36.08617679137458
64,20000,0.49998125023437207,0.05468824999062513,0.047815499962500486,0.04907449985000189,0.0007465779967606068,0.1570350320171565,0.00436482198536396,0.004754213038776221,0.17104431733161587,35.97741959322131
128,100,0.4925373134328358,0.029757462686567156,0.03513992537313428,0.29683768656716425,2.16899998486042e-05,0.001866841996088624,5.0099985674023626e-05,0.011618551486440054,0.4329342525111791,37.26232594626398
128,1250,0.4997000599880024,0.03685100479904019,0.03140625,0.09352148320335932,6.965399719774723e-05,0.011904280008748174,0.0003933779895305634,0.00585117261577854,0.17706633073413347,30.26168297558823
128,2500,0.4997000599880024,0.03844949760047991,0.03828125,0.16314955758848246,0.00010728597640991211,0.022706624045968057,0.0007678540237247944,0.004724875709956652,0.13972183917130107,29.571537485497778
128,5000,0.4999250037498125,0.03907749925003749,0.0323527495500225,0.14586850344982744,0.00020912402309477328,0.04455521201714873,0.0015190379973500966,0.0046935928172507435,0.13766872419227308,29.331203100168388
128,10000,0.4999250037498125,0.026568499700015,0.03720849895005248,0.04619600269986506,0.000361257940530777,0.0878463019989431,0.002916749967262149,0.004112386433012552,0.12385632796282403,30.117871941351677
128,20000,0.49998125023437207,0.036723249943750695,0.03656699994375069,0.04141899984062697,0.00080199402756989,0.17440554603002967,0.005793115990236401,0.00459844337422504,0.1384391455171197,30.105654077006086
256,100,0.4925373134328358,0.0203125,0.0287336753731343,0.2961345615671643,3.94979864358902e-05,0.002831941992044449,8.036396466195583e-05,0.013947314792057455,0.4914887736317529,35.23895322930833
